"title","description"
"索拉里斯","Sol-3，太阳星系的第三颗星球，从第一声「悲鸣」开始——
新生事物涌现，旧日法则失效，前所未见的异象灾害在大地上肆虐。
在这个毁灭与新生并存的全新世界里，人类秉持着不屈的文明星火，正欲抵御新一轮未知的危机浪潮。"
"海蚀现象","悲鸣之下，毁灭的浪潮对索拉世界产生了侵蚀作用。
「无音区」、「残象潮」、「黑石」……种种在此显露出的侵蚀异象表现被统称为「海蚀现象」。"
"悲鸣","「悲鸣」是在索拉里斯一切灾变态势的统称。
人们牢记一切产生变化的时间，那是从第一声悲鸣开始，而「悲鸣」从未结束。
浪潮不止，悲鸣永不停歇。"
"残象","海蚀现象下，由残存混乱的频率能量构成的类生命体，外形不定，具备特殊结构“声核”，学界也称其为「残响体」。
残象的本能是通过吞噬融合其他频率以维系自身稳定乃至进化，行为模式类似捕食。
其能力、外形和行为因频率信息构成差异而有所不同，多为拟态。"
"声骸","可被盘古终端捕捉、利用、并复现「残象」能力的特殊频率。
「残象」被击溃后有几率留下对应的「残响」。
「残响」可经由盘古终端的数据坞被转化为「声骸」，成为能够被利用于战斗的力量。"
"岁主","存在文明与历史的疆域地界便存在「岁主」，据记载，「岁主」曾数度指引人类渡过灾难，或传授智识，晓示预言。
对经历悲鸣再次蹒跚启程的人类来说，岁主是与文明同寿的记录者，亦是引导人类跨越灾难的灯塔。"
"海蚀现象","悲鸣之下，毁灭的浪潮对索拉世界产生了侵蚀作用。
「无音区」、「残象潮」、「黑石」……种种在此显露出的侵蚀异象表现被统称为「海蚀现象」。"
"无音区","现今学界认为「无音区」是残象的诞生区域，其出现往往伴随着遮蔽天空的倒悬之海及深刻于地表的十字星状声痕。
万千残响在无音区中不断地反射、交织、重叠，白色的声弦连接了现实与彼端未知的空间，无数残象于此汇集。"
"共鸣者","能够与特定事物产生共鸣，感知并操控其频率的人类，被称作「共鸣者」。
共鸣者能凭借体表的「声痕」施展「共鸣能力」，学界认为，大部分「共鸣能力」的类型与表现，往往与共鸣者的经历与潜意识密切相关。"
"残象","海蚀现象下，由残存混乱的频率能量构成的类生命体，外形不定，具备特殊结构“声核”，学界也称其为「残响体」。
残象的本能是通过吞噬融合其他频率以维系自身稳定乃至进化，行为模式类似捕食。
其能力、外形和行为因频率信息构成差异而有所不同，多为拟态。"
"索拉里斯","Sol-3，太阳星系的第三颗星球，从第一声「悲鸣」开始——
新生事物涌现，旧日法则失效，前所未见的异象灾害在大地上肆虐。
在这个毁灭与新生并存的全新世界里，人类秉持着不屈的文明星火，正欲抵御新一轮未知的危机浪潮。"
"海蚀现象","悲鸣之下，毁灭的浪潮对索拉世界产生了侵蚀作用。
「无音区」、「残象潮」、「黑石」……种种在此显露出的侵蚀异象表现被统称为「海蚀现象」。"
"悲鸣","「悲鸣」是在索拉里斯一切灾变态势的统称。
人们牢记一切产生变化的时间，那是从第一声悲鸣开始，而「悲鸣」从未结束。
浪潮不止，悲鸣永不停歇。"
"无音区","现今学界认为「无音区」是残象的诞生区域，其出现往往伴随着遮蔽天空的倒悬之海及深刻于地表的十字星状声痕。
万千残响在无音区中不断地反射、交织、重叠，白色的声弦连接了现实与彼端未知的空间，无数残象于此汇集。"
"共鸣者","能够与特定事物产生共鸣，感知并操控其频率的人类，被称作「共鸣者」。
共鸣者能凭借体表的「声痕」施展「共鸣能力」，学界认为，大部分「共鸣能力」的类型与表现，往往与共鸣者的经历与潜意识密切相关。"
"索拉里斯","Sol-3，太阳星系的第三颗星球，从第一声「悲鸣」开始——
新生事物涌现，旧日法则失效，前所未见的异象灾害在大地上肆虐。
在这个毁灭与新生并存的全新世界里，人类秉持着不屈的文明星火，正欲抵御新一轮未知的危机浪潮。"
"海蚀现象","悲鸣之下，毁灭的浪潮对索拉世界产生了侵蚀作用。
「无音区」、「残象潮」、「黑石」……种种在此显露出的侵蚀异象表现被统称为「海蚀现象」。"
"无音区","现今学界认为「无音区」是残象的诞生区域，其出现往往伴随着遮蔽天空的倒悬之海及深刻于地表的十字星状声痕。
万千残响在无音区中不断地反射、交织、重叠，白色的声弦连接了现实与彼端未知的空间，无数残象于此汇集。"
"共鸣者","能够与特定事物产生共鸣，感知并操控其频率的人类，被称作「共鸣者」。
共鸣者能凭借体表的「声痕」施展「共鸣能力」，学界认为，大部分「共鸣能力」的类型与表现，往往与共鸣者的经历与潜意识密切相关。"
"今州","瑝珑的边塞重城，其北部是直面残象潮灾害的腹地，瑝珑抵御残象的前线关隘。
瑝珑疆域辽阔，属地共一庭六州，今州城作为其中最年轻的州城，一经建立便承担戍关镇守的重任，夜归将士死守北方，未曾撼动分毫。"
"索拉里斯","Sol-3，太阳星系的第三颗星球，从第一声「悲鸣」开始——
新生事物涌现，旧日法则失效，前所未见的异象灾害在大地上肆虐。
在这个毁灭与新生并存的全新世界里，人类秉持着不屈的文明星火，正欲抵御新一轮未知的危机浪潮。"
"悲鸣","「悲鸣」是在索拉里斯一切灾变态势的统称。
人们牢记一切产生变化的时间，那是从第一声悲鸣开始，而「悲鸣」从未结束。
浪潮不止，悲鸣永不停歇。"
"声骸","可被盘古终端捕捉、利用、并复现「残象」能力的特殊频率。
「残象」被击溃后有几率留下对应的「残响」。
「残响」可经由盘古终端的数据坞被转化为「声骸」，成为能够被利用于战斗的力量。"
"岁主","存在文明与历史的疆域地界便存在「岁主」，据记载，「岁主」曾数度指引人类渡过灾难，或传授智识，晓示预言。
对经历悲鸣再次蹒跚启程的人类来说，岁主是与文明同寿的记录者，亦是引导人类跨越灾难的灯塔。"
"今州","瑝珑的边塞重城，其北部是直面残象潮灾害的腹地，瑝珑抵御残象的前线关隘。
瑝珑疆域辽阔，属地共一庭六州，今州城作为其中最年轻的州城，一经建立便承担戍关镇守的重任，夜归将士死守北方，未曾撼动分毫。"
"残象","海蚀现象下，由残存混乱的频率能量构成的类生命体，外形不定，具备特殊结构“声核”，学界也称其为「残响体」。
残象的本能是通过吞噬融合其他频率以维系自身稳定乃至进化，行为模式类似捕食。
其能力、外形和行为因频率信息构成差异而有所不同，多为拟态。"
"声骸","可被盘古终端捕捉、利用、并复现「残象」能力的特殊频率。
「残象」被击溃后有几率留下对应的「残响」。
「残响」可经由盘古终端的数据坞被转化为「声骸」，成为能够被利用于战斗的力量。"
"岁主","存在文明与历史的疆域地界便存在「岁主」，据记载，「岁主」曾数度指引人类渡过灾难，或传授智识，晓示预言。
对经历悲鸣再次蹒跚启程的人类来说，岁主是与文明同寿的记录者，亦是引导人类跨越灾难的灯塔。"
"今州","瑝珑的边塞重城，其北部是直面残象潮灾害的腹地，瑝珑抵御残象的前线关隘。
瑝珑疆域辽阔，属地共一庭六州，今州城作为其中最年轻的州城，一经建立便承担戍关镇守的重任，夜归将士死守北方，未曾撼动分毫。"
"悲鸣","「悲鸣」是在索拉里斯一切灾变态势的统称。
人们牢记一切产生变化的时间，那是从第一声悲鸣开始，而「悲鸣」从未结束。
浪潮不止，悲鸣永不停歇。"
"无音区","现今学界认为「无音区」是残象的诞生区域，其出现往往伴随着遮蔽天空的倒悬之海及深刻于地表的十字星状声痕。
万千残响在无音区中不断地反射、交织、重叠，白色的声弦连接了现实与彼端未知的空间，无数残象于此汇集。"
"共鸣者","能够与特定事物产生共鸣，感知并操控其频率的人类，被称作「共鸣者」。
共鸣者能凭借体表的「声痕」施展「共鸣能力」，学界认为，大部分「共鸣能力」的类型与表现，往往与共鸣者的经历与潜意识密切相关。"
"残象","海蚀现象下，由残存混乱的频率能量构成的类生命体，外形不定，具备特殊结构“声核”，学界也称其为「残响体」。
残象的本能是通过吞噬融合其他频率以维系自身稳定乃至进化，行为模式类似捕食。
其能力、外形和行为因频率信息构成差异而有所不同，多为拟态。"
"声骸","可被盘古终端捕捉、利用、并复现「残象」能力的特殊频率。
「残象」被击溃后有几率留下对应的「残响」。
「残响」可经由盘古终端的数据坞被转化为「声骸」，成为能够被利用于战斗的力量。"
"岁主","存在文明与历史的疆域地界便存在「岁主」，据记载，「岁主」曾数度指引人类渡过灾难，或传授智识，晓示预言。
对经历悲鸣再次蹒跚启程的人类来说，岁主是与文明同寿的记录者，亦是引导人类跨越灾难的灯塔。"
"今州","瑝珑的边塞重城，其北部是直面残象潮灾害的腹地，瑝珑抵御残象的前线关隘。
瑝珑疆域辽阔，属地共一庭六州，今州城作为其中最年轻的州城，一经建立便承担戍关镇守的重任，夜归将士死守北方，未曾撼动分毫。"
"索拉里斯","Sol-3，太阳星系的第三颗星球，从第一声「悲鸣」开始——
新生事物涌现，旧日法则失效，前所未见的异象灾害在大地上肆虐。
在这个毁灭与新生并存的全新世界里，人类秉持着不屈的文明星火，正欲抵御新一轮未知的危机浪潮。"
"海蚀现象","悲鸣之下，毁灭的浪潮对索拉世界产生了侵蚀作用。
「无音区」、「残象潮」、「黑石」……种种在此显露出的侵蚀异象表现被统称为「海蚀现象」。"
"悲鸣","「悲鸣」是在索拉里斯一切灾变态势的统称。
人们牢记一切产生变化的时间，那是从第一声悲鸣开始，而「悲鸣」从未结束。
浪潮不止，悲鸣永不停歇。"
"无音区","现今学界认为「无音区」是残象的诞生区域，其出现往往伴随着遮蔽天空的倒悬之海及深刻于地表的十字星状声痕。
万千残响在无音区中不断地反射、交织、重叠，白色的声弦连接了现实与彼端未知的空间，无数残象于此汇集。"
"共鸣者","能够与特定事物产生共鸣，感知并操控其频率的人类，被称作「共鸣者」。
共鸣者能凭借体表的「声痕」施展「共鸣能力」，学界认为，大部分「共鸣能力」的类型与表现，往往与共鸣者的经历与潜意识密切相关。"
"残象","海蚀现象下，由残存混乱的频率能量构成的类生命体，外形不定，具备特殊结构“声核”，学界也称其为「残响体」。
残象的本能是通过吞噬融合其他频率以维系自身稳定乃至进化，行为模式类似捕食。
其能力、外形和行为因频率信息构成差异而有所不同，多为拟态。"
"声骸","可被盘古终端捕捉、利用、并复现「残象」能力的特殊频率。
「残象」被击溃后有几率留下对应的「残响」。
「残响」可经由盘古终端的数据坞被转化为「声骸」，成为能够被利用于战斗的力量。"
"岁主","存在文明与历史的疆域地界便存在「岁主」，据记载，「岁主」曾数度指引人类渡过灾难，或传授智识，晓示预言。
对经历悲鸣再次蹒跚启程的人类来说，岁主是与文明同寿的记录者，亦是引导人类跨越灾难的灯塔。"
"今州","瑝珑的边塞重城，其北部是直面残象潮灾害的腹地，瑝珑抵御残象的前线关隘。
瑝珑疆域辽阔，属地共一庭六州，今州城作为其中最年轻的州城，一经建立便承担戍关镇守的重任，夜归将士死守北方，未曾撼动分毫。"
"索拉里斯","Sol-3，太阳星系的第三颗星球，从第一声「悲鸣」开始——
新生事物涌现，旧日法则失效，前所未见的异象灾害在大地上肆虐。
在这个毁灭与新生并存的全新世界里，人类秉持着不屈的文明星火，正欲抵御新一轮未知的危机浪潮。"
"海蚀现象","悲鸣之下，毁灭的浪潮对索拉世界产生了侵蚀作用。
「无音区」、「残象潮」、「黑石」……种种在此显露出的侵蚀异象表现被统称为「海蚀现象」。"
"悲鸣","「悲鸣」是在索拉里斯一切灾变态势的统称。
人们牢记一切产生变化的时间，那是从第一声悲鸣开始，而「悲鸣」从未结束。
浪潮不止，悲鸣永不停歇。"
"无音区","现今学界认为「无音区」是残象的诞生区域，其出现往往伴随着遮蔽天空的倒悬之海及深刻于地表的十字星状声痕。
万千残响在无音区中不断地反射、交织、重叠，白色的声弦连接了现实与彼端未知的空间，无数残象于此汇集。"
"共鸣者","能够与特定事物产生共鸣，感知并操控其频率的人类，被称作「共鸣者」。
共鸣者能凭借体表的「声痕」施展「共鸣能力」，学界认为，大部分「共鸣能力」的类型与表现，往往与共鸣者的经历与潜意识密切相关。"
"残象","海蚀现象下，由残存混乱的频率能量构成的类生命体，外形不定，具备特殊结构“声核”，学界也称其为「残响体」。
残象的本能是通过吞噬融合其他频率以维系自身稳定乃至进化，行为模式类似捕食。
其能力、外形和行为因频率信息构成差异而有所不同，多为拟态。"
"声骸","可被盘古终端捕捉、利用、并复现「残象」能力的特殊频率。
「残象」被击溃后有几率留下对应的「残响」。
「残响」可经由盘古终端的数据坞被转化为「声骸」，成为能够被利用于战斗的力量。"
"岁主","存在文明与历史的疆域地界便存在「岁主」，据记载，「岁主」曾数度指引人类渡过灾难，或传授智识，晓示预言。
对经历悲鸣再次蹒跚启程的人类来说，岁主是与文明同寿的记录者，亦是引导人类跨越灾难的灯塔。"
"今州","瑝珑的边塞重城，其北部是直面残象潮灾害的腹地，瑝珑抵御残象的前线关隘。
瑝珑疆域辽阔，属地共一庭六州，今州城作为其中最年轻的州城，一经建立便承担戍关镇守的重任，夜归将士死守北方，未曾撼动分毫。"
"索拉里斯","Sol-3，太阳星系的第三颗星球，从第一声「悲鸣」开始——
新生事物涌现，旧日法则失效，前所未见的异象灾害在大地上肆虐。
在这个毁灭与新生并存的全新世界里，人类秉持着不屈的文明星火，正欲抵御新一轮未知的危机浪潮。"
"鸣式","为了摧毁文明发展中人类引以为傲的精神，以人类崩塌的意志为自身的“食粮”，伴随着「悲鸣」诞生的可怖残象。
如果说文明是人类集体意志的凝聚，那么「鸣式」便会折射集体意志的隐忧与心魔，具现为盘踞于星球各处的毁灭性的残象灾害。"
"残响","学界中有观点认为，在海蚀现象发生时，物质、信息和能量都会被还原为振动的频率，而过后残留下不断衰减的频率能量形态即为「残响」。
据研究观测，回音一旦衰减便会成为残响，该过程不可逆。"
"回音","一种纯净，完整的频率能量形态，其记录的信息能够超越时空以某种形式稳定存在。
经研究发现，海蚀现象的产物「黑石」可以完整封存承载「回音」能量。加以改造，可作为共鸣者可使用的强力能源武器，对残象造成有效伤害。
其富集形成的超自然空间区域，学界称之为索诺拉。"
"鸣式","为了摧毁文明发展中人类引以为傲的精神，以人类崩塌的意志为自身的“食粮”，伴随着「悲鸣」诞生的可怖残象。
如果说文明是人类集体意志的凝聚，那么「鸣式」便会折射集体意志的隐忧与心魔，具现为盘踞于星球各处的毁灭性的残象灾害。"
