"title","description"
"残响","学界中有观点认为，在海蚀现象发生时，物质、信息和能量都会被还原为振动的频率，而过后残留下不断衰减的频率能量形态即为「残响」。
据研究观测，回音一旦衰减便会成为残响，该过程不可逆。"
"回音","一种纯净，完整的频率能量形态，其记录的信息能够超越时空以某种形式稳定存在。
经研究发现，海蚀现象的产物「黑石」可以完整封存承载「回音」能量。加以改造，可作为共鸣者可使用的强力能源武器，对残象造成有效伤害。
其富集形成的超自然空间区域，学界称之为索诺拉。"
"鸣式","为了摧毁文明发展中人类引以为傲的精神，以人类崩塌的意志为自身的“食粮”，伴随着「悲鸣」诞生的可怖残象。
如果说文明是人类集体意志的凝聚，那么「鸣式」便会折射集体意志的隐忧与心魔，具现为盘踞于星球各处的毁灭性的残象灾害。"
"残响","学界中有观点认为，在海蚀现象发生时，物质、信息和能量都会被还原为振动的频率，而过后残留下不断衰减的频率能量形态即为「残响」。
据研究观测，回音一旦衰减便会成为残响，该过程不可逆。"
"回音","一种纯净，完整的频率能量形态，其记录的信息能够超越时空以某种形式稳定存在。
经研究发现，海蚀现象的产物「黑石」可以完整封存承载「回音」能量。加以改造，可作为共鸣者可使用的强力能源武器，对残象造成有效伤害。
其富集形成的超自然空间区域，学界称之为索诺拉。"
"鸣式","为了摧毁文明发展中人类引以为傲的精神，以人类崩塌的意志为自身的“食粮”，伴随着「悲鸣」诞生的可怖残象。
如果说文明是人类集体意志的凝聚，那么「鸣式」便会折射集体意志的隐忧与心魔，具现为盘踞于星球各处的毁灭性的残象灾害。"
"残响","学界中有观点认为，在海蚀现象发生时，物质、信息和能量都会被还原为振动的频率，而过后残留下不断衰减的频率能量形态即为「残响」。
据研究观测，回音一旦衰减便会成为残响，该过程不可逆。"
"回音","一种纯净，完整的频率能量形态，其记录的信息能够超越时空以某种形式稳定存在。
经研究发现，海蚀现象的产物「黑石」可以完整封存承载「回音」能量。加以改造，可作为共鸣者可使用的强力能源武器，对残象造成有效伤害。
其富集形成的超自然空间区域，学界称之为索诺拉。"
"鸣式","为了摧毁文明发展中人类引以为傲的精神，以人类崩塌的意志为自身的“食粮”，伴随着「悲鸣」诞生的可怖残象。
如果说文明是人类集体意志的凝聚，那么「鸣式」便会折射集体意志的隐忧与心魔，具现为盘踞于星球各处的毁灭性的残象灾害。"
"残响","学界中有观点认为，在海蚀现象发生时，物质、信息和能量都会被还原为振动的频率，而过后残留下不断衰减的频率能量形态即为「残响」。
据研究观测，回音一旦衰减便会成为残响，该过程不可逆。"
"回音","一种纯净，完整的频率能量形态，其记录的信息能够超越时空以某种形式稳定存在。
经研究发现，海蚀现象的产物「黑石」可以完整封存承载「回音」能量。加以改造，可作为共鸣者可使用的强力能源武器，对残象造成有效伤害。
其富集形成的超自然空间区域，学界称之为索诺拉。"
"鸣式","为了摧毁文明发展中人类引以为傲的精神，以人类崩塌的意志为自身的“食粮”，伴随着「悲鸣」诞生的可怖残象。
如果说文明是人类集体意志的凝聚，那么「鸣式」便会折射集体意志的隐忧与心魔，具现为盘踞于星球各处的毁灭性的残象灾害。"
"残响","学界中有观点认为，在海蚀现象发生时，物质、信息和能量都会被还原为振动的频率，而过后残留下不断衰减的频率能量形态即为「残响」。
据研究观测，回音一旦衰减便会成为残响，该过程不可逆。"
"回音","一种纯净，完整的频率能量形态，其记录的信息能够超越时空以某种形式稳定存在。
经研究发现，海蚀现象的产物「黑石」可以完整封存承载「回音」能量。加以改造，可作为共鸣者可使用的强力能源武器，对残象造成有效伤害。
其富集形成的超自然空间区域，学界称之为索诺拉。"
"异想奇境","一扇神秘的门扉已经开启，其可通向名为心之集域的空间，据说，它承载了索拉里斯所有生命的梦境……"
"索拉里斯","Sol-3，太阳星系的第三颗星球，从第一声「悲鸣」开始——
新生事物涌现，旧日法则失效，前所未见的异象灾害在大地上肆虐。
在这个毁灭与新生并存的全新世界里，人类秉持着不屈的文明星火，正欲抵御新一轮未知的危机浪潮。"
"索拉里斯","Sol-3，太阳星系的第三颗星球，从第一声「悲鸣」开始——
新生事物涌现，旧日法则失效，前所未见的异象灾害在大地上肆虐。
在这个毁灭与新生并存的全新世界里，人类秉持着不屈的文明星火，正欲抵御新一轮未知的危机浪潮。"
"海蚀现象","悲鸣之下，毁灭的浪潮对索拉世界产生了侵蚀作用。
「无音区」、「残象潮」、「黑石」……种种在此显露出的侵蚀异象表现被统称为「海蚀现象」。"
"悲鸣","「悲鸣」是在索拉里斯一切灾变态势的统称。
人们牢记一切产生变化的时间，那是从第一声悲鸣开始，而「悲鸣」从未结束。
浪潮不止，悲鸣永不停歇。"
"无音区","现今学界认为「无音区」是残象的诞生区域，其出现往往伴随着遮蔽天空的倒悬之海及深刻于地表的十字星状声痕。
万千残响在无音区中不断地反射、交织、重叠，白色的声弦连接了现实与彼端未知的空间，无数残象于此汇集。"
"共鸣者","能够与特定事物产生共鸣，感知并操控其频率的人类，被称作「共鸣者」。
共鸣者能凭借体表的「声痕」施展「共鸣能力」，学界认为，大部分「共鸣能力」的类型与表现，往往与共鸣者的经历与潜意识密切相关。"
"残象","海蚀现象下，由残存混乱的频率能量构成的类生命体，外形不定，具备特殊结构“声核”，学界也称其为「残响体」。
残象的本能是通过吞噬融合其他频率以维系自身稳定乃至进化，行为模式类似捕食。
其能力、外形和行为因频率信息构成差异而有所不同，多为拟态。"
"声骸","可被盘古终端捕捉、利用、并复现「残象」能力的特殊频率。
「残象」被击溃后有几率留下对应的「残响」。
「残响」可经由盘古终端的数据坞被转化为「声骸」，成为能够被利用于战斗的力量。"
"岁主","存在文明与历史的疆域地界便存在「岁主」，据记载，「岁主」曾数度指引人类渡过灾难，或传授智识，晓示预言。
对经历悲鸣再次蹒跚启程的人类来说，岁主是与文明同寿的记录者，亦是引导人类跨越灾难的灯塔。"
"今州","瑝珑的边塞重城，其北部是直面残象潮灾害的腹地，瑝珑抵御残象的前线关隘。
瑝珑疆域辽阔，属地共一庭六州，今州城作为其中最年轻的州城，一经建立便承担戍关镇守的重任，夜归将士死守北方，未曾撼动分毫。"
"鸣式","为了摧毁文明发展中人类引以为傲的精神，以人类崩塌的意志为自身的“食粮”，伴随着「悲鸣」诞生的可怖残象。
如果说文明是人类集体意志的凝聚，那么「鸣式」便会折射集体意志的隐忧与心魔，具现为盘踞于星球各处的毁灭性的残象灾害。"
"残响","学界中有观点认为，在海蚀现象发生时，物质、信息和能量都会被还原为振动的频率，而过后残留下不断衰减的频率能量形态即为「残响」。
据研究观测，回音一旦衰减便会成为残响，该过程不可逆。"
"回音","一种纯净，完整的频率能量形态，其记录的信息能够超越时空以某种形式稳定存在。
经研究发现，海蚀现象的产物「黑石」可以完整封存承载「回音」能量。加以改造，可作为共鸣者可使用的强力能源武器，对残象造成有效伤害。
其富集形成的超自然空间区域，学界称之为索诺拉。"
"索拉里斯","Sol-3，太阳星系的第三颗星球，从第一声「悲鸣」开始——
新生事物涌现，旧日法则失效，前所未见的异象灾害在大地上肆虐。
在这个毁灭与新生并存的全新世界里，人类秉持着不屈的文明星火，正欲抵御新一轮未知的危机浪潮。"
"海蚀现象","悲鸣之下，毁灭的浪潮对索拉世界产生了侵蚀作用。
「无音区」、「残象潮」、「黑石」……种种在此显露出的侵蚀异象表现被统称为「海蚀现象」。"
"悲鸣","「悲鸣」是在索拉里斯一切灾变态势的统称。
人们牢记一切产生变化的时间，那是从第一声悲鸣开始，而「悲鸣」从未结束。
浪潮不止，悲鸣永不停歇。"
"无音区","现今学界认为「无音区」是残象的诞生区域，其出现往往伴随着遮蔽天空的倒悬之海及深刻于地表的十字星状声痕。
万千残响在无音区中不断地反射、交织、重叠，白色的声弦连接了现实与彼端未知的空间，无数残象于此汇集。"
"共鸣者","能够与特定事物产生共鸣，感知并操控其频率的人类，被称作「共鸣者」。
共鸣者能凭借体表的「声痕」施展「共鸣能力」，学界认为，大部分「共鸣能力」的类型与表现，往往与共鸣者的经历与潜意识密切相关。"
"残象","海蚀现象下，由残存混乱的频率能量构成的类生命体，外形不定，具备特殊结构“声核”，学界也称其为「残响体」。
残象的本能是通过吞噬融合其他频率以维系自身稳定乃至进化，行为模式类似捕食。
其能力、外形和行为因频率信息构成差异而有所不同，多为拟态。"
"声骸","可被盘古终端捕捉、利用、并复现「残象」能力的特殊频率。
「残象」被击溃后有几率留下对应的「残响」。
「残响」可经由盘古终端的数据坞被转化为「声骸」，成为能够被利用于战斗的力量。"
"岁主","存在文明与历史的疆域地界便存在「岁主」，据记载，「岁主」曾数度指引人类渡过灾难，或传授智识，晓示预言。
对经历悲鸣再次蹒跚启程的人类来说，岁主是与文明同寿的记录者，亦是引导人类跨越灾难的灯塔。"
"今州","瑝珑的边塞重城，其北部是直面残象潮灾害的腹地，瑝珑抵御残象的前线关隘。
瑝珑疆域辽阔，属地共一庭六州，今州城作为其中最年轻的州城，一经建立便承担戍关镇守的重任，夜归将士死守北方，未曾撼动分毫。"
"鸣式","为了摧毁文明发展中人类引以为傲的精神，以人类崩塌的意志为自身的“食粮”，伴随着「悲鸣」诞生的可怖残象。
如果说文明是人类集体意志的凝聚，那么「鸣式」便会折射集体意志的隐忧与心魔，具现为盘踞于星球各处的毁灭性的残象灾害。"
"残响","学界中有观点认为，在海蚀现象发生时，物质、信息和能量都会被还原为振动的频率，而过后残留下不断衰减的频率能量形态即为「残响」。
据研究观测，回音一旦衰减便会成为残响，该过程不可逆。"
"回音","一种纯净，完整的频率能量形态，其记录的信息能够超越时空以某种形式稳定存在。
经研究发现，海蚀现象的产物「黑石」可以完整封存承载「回音」能量。加以改造，可作为共鸣者可使用的强力能源武器，对残象造成有效伤害。
其富集形成的超自然空间区域，学界称之为索诺拉。"
"时序之寰","岁主「角」的声之领域。此地晨昏相浊，四时无序，蕴聚着一切时序的元始与终形。"
"黑海岸·其上","笼罩在谜团和动荡之中的黑海岸，危机四伏。不知何时、何人能将它身上由数据构成的迷雾拨开，让这片海岸重新肩负起联结世界的使命。"
"黑海岸·其上","笼罩在谜团和动荡之中的黑海岸，危机四伏。不知何时、何人能将它身上由数据构成的迷雾拨开，让这片海岸重新肩负起联结世界的使命。"
"黑海岸·其上","笼罩在谜团和动荡之中的黑海岸，危机四伏。不知何时、何人能将它身上由数据构成的迷雾拨开，让这片海岸重新肩负起联结世界的使命。"
"黑海岸·其上","隐于海雾之中的神秘群岛黑海岸，也正是奔走于世间众多客卿与执花们的港湾。除非受到黑海岸成员们的邀请，还没有谁能够在大海上发现这座将世界联结在一起的一叶扁舟……"
"黑海岸·其上","隐于海雾之中的神秘群岛黑海岸，也正是奔走于世间众多客卿与执花们的港湾。除非受到黑海岸成员们的邀请，还没有谁能够在大海上发现这座将世界联结在一起的一叶扁舟……"
"黑海岸·其下","夜空中飘荡着不谐的音符，照亮群星的火炬此刻却燃烧着群星，化为赤红色的恶火，聆听那些隐没在悲鸣之中真正的悲鸣吧，以毫不畏惧的勇气面对，新的希望终将重生。"
"黑海岸·其下","夜空中飘荡着不谐的音符，照亮群星的火炬此刻却燃烧着群星，化为赤红色的恶火，聆听那些隐没在悲鸣之中真正的悲鸣吧，以毫不畏惧的勇气面对，新的希望终将重生。"
"黑海岸·其下","日夜两分，上下映照。黑海岸在海平面以下的这片广袤区域如同一座永夜之城。索拉里斯的观测者和调律者，正在此地以群星为轴，寻找着世界的救赎之道……"
"黑海岸·其下","日夜两分，上下映照。黑海岸在海平面以下的这片广袤区域如同一座永夜之城。索拉里斯的观测者和调律者，正在此地以群星为轴，寻找着世界的救赎之道……"
"黑海岸·其下","日夜两分，上下映照。黑海岸在海平面以下的这片广袤区域如同一座永夜之城。索拉里斯的观测者和调律者，正在此地以群星为轴，寻找着世界的救赎之道……"
"艾多斯之镜","设立在地中星河深处的花园，也是观测地下星空的透镜，守岸人受制于泰缇斯系统时的居所。据说此地早在黑海岸创建之初就已存在，乃是望向群星的眼睛。
然而眼睛看到的却未必能被心灵知晓，至高理念背后该是何种真相？"
"何谓末世？","……本机无法观测没有本机存在的未来。
因为本机破灭的未来，世界必定消亡。
冻结，撕裂，焚毁……那就让你看看，世界的尽头吧。"
"破灭终局","火焰烧毁大地，暗星吞噬天空。归墟港市最高处的黑洞，是毁灭的开端，也是毁灭的终局，同样，也隐藏着救赎的钥匙……亦或是，一个谎言。"
"漂泊的终点","泰缇斯系统最深处虚拟海岸，记录并代表着遥远未来的黑海岸的终点。
浪潮将失乡的旅者推至终点，自此以后，不再有漂泊。
然而，守护着终点的人，和你一样，都是来自于终点的孑遗。"
"黑海岸·其下","夜空中飘荡着不谐的音符，照亮群星的火炬此刻却燃烧着群星，化为赤红色的恶火，聆听那些隐没在悲鸣之中真正的悲鸣吧，以毫不畏惧的勇气面对，新的希望终将重生。"
"乘霄山·虹镇","乘霄山中与世隔绝的古朴小镇。雅致的建筑错落于红叶白雪之间，静谧而美丽。
虹镇人将为他们提供庇护的岁主视为神祇世代守护，以至重明继焰，人寿年丰。即使乘霄山终年覆雪，那从山间蜿蜒而下的温泉与在此安居乐业的人民，足以令这一方净土暖若春山。"
"乘霄山","位于今州东南海域的世外净土，因周边海域被迷雾遮蔽，常人难以踏寻。
据记载，乘霄山是今州先民的祖地，岁主「角」曾降临于此，以时序之力庇护此地不受残象侵扰，因此山中时间流速与外界不同。
早年间，稷廷人曾得机缘赴乘霄秘地探赜索隐，留下诸多研究设施及珍贵资料后，不知所踪。"
"乘霄山","位于今州东南海域的世外净土，因周边海域被迷雾遮蔽，常人难以踏寻。
据记载，乘霄山是今州先民的祖地，岁主「角」曾降临于此，以时序之力庇护此地不受残象侵扰，因此山中时间流速与外界不同。
早年间，稷廷人曾得机缘赴乘霄秘地探赜索隐，留下诸多研究设施及珍贵资料后，不知所踪。"
"乘霄山·眠龙庭","早年与岁主一同坠落于乘霄山的舱体，藏于卧龙冈深处，被虹镇人称为眠龙庭。
虹镇人猜测，岁主「角」应是来自遥远的星辰，而眠龙庭即是祂的休眠舱。
这里是朝觐之路的终点，亦通向着今州真正的未来。"
"乘霄山·眠龙庭","早年与岁主一同坠落于乘霄山的舱体，藏于卧龙冈深处，被虹镇人称为眠龙庭。
虹镇人猜测，岁主「角」应是来自遥远的星辰，而眠龙庭即是祂的休眠舱。
这里是朝觐之路的终点，亦通向着今州真正的未来。"